,x,y,class,0,1
373,87,3,3,0.042410284,0.4561927
374,88,3,3,0.05349657,0.341717
375,89,3,3,0.20955871,0.72074986
376,90,3,3,0.15490133,0.6500988
377,91,3,3,0.09263702,0.5673783
378,92,3,3,0.06058842,0.47035462
379,93,3,3,0.12166538,0.6383392
380,94,3,3,0.20134206,0.7133761
381,95,3,3,0.1862298,0.7081176
382,96,3,3,0.107182585,0.5985281
383,97,3,3,0.20741354,0.71635854
384,98,3,3,0.17529064,0.6656335
385,99,3,3,0.23827653,0.7300905
386,100,3,3,0.05376304,0.45551902
387,101,3,3,0.040567312,0.4565299
388,102,3,3,0.14671294,0.6390158
389,103,3,3,0.17715289,0.673468
390,104,3,3,0.048565317,0.48710015
391,105,3,3,0.044559985,0.46837947
392,106,3,3,0.053397097,0.4892341
393,107,3,3,0.120502196,0.5593277
394,108,3,3,0.035321113,0.2924894
395,109,3,3,0.027183028,0.4049342
396,110,3,3,0.20669875,0.64592445
397,111,3,3,0.20162159,0.6748528
398,112,3,3,0.06067175,0.35984972
399,113,3,3,0.17520463,0.68180376
400,114,3,3,0.22193557,0.7101519
401,115,3,3,0.13776653,0.6230054
402,116,3,3,0.09117767,0.54860896
403,117,3,3,0.03888152,0.42078638
404,118,3,3,0.17831582,0.6859249
405,119,3,3,0.10247274,0.60609
406,120,3,3,0.16512753,0.68604875
407,121,3,3,0.22835542,0.7240206
